,k,values
0,10,22.876344086021504
1,20,22.822580645161292
2,30,22.804659498207887
3,40,23.0241935483871
4,50,23.059139784946236
5,60,23.28405017921147
6,70,23.456221198156683
7,80,23.343413978494624
8,90,23.390083632019117
9,100,23.489247311827956
